text,label
"[NAME] liked your post about cybersecurity trends",0
"[NAME] a aimé votre publication sur la sécurité",0
"Your connection [NAME] started following [COMPANY]",0
"Votre contact [NAME] suit maintenant [ENTREPRISE]",0
"[NAME] endorsed you for Python programming",0
"[NAME] vous a recommandé pour Python",0
"Weekly network digest: 5 new updates",0
"Résumé hebdomadaire réseau : 5 mises à jour",0
"[NAME] shared an article about AI ethics",0
"[NAME] a partagé un article sur l'éthique IA",0
"[NAME] commented on your LinkedIn article",0
"[NAME] a commenté votre article LinkedIn",0
"Your post received 47 likes and 8 comments",0
"Votre publication a reçu 47 likes et 8 commentaires",0
"[NAME] mentioned you in a professional discussion",0
"[NAME] vous a mentionné dans une discussion professionnelle",0
"New connection request from [NAME] at [COMPANY]",0
"Nouvelle demande de connexion de [NAME] chez [ENTREPRISE]",0
"Your network has grown by 12% this month",0
"Votre réseau a augmenté de 12% ce mois-ci",0
"💼 Premium features: See who viewed your profile",1
"💼 Fonctionnalités premium : Voyez qui consulte votre profil",1
"🚀 Career boost: Get noticed by recruiters",1
"🚀 Boostez votre carrière : Attirez les recruteurs",1
"✨ Unlock networking superpowers with Premium",1
"✨ Débloquez le pouvoir du réseau avec Premium",1
"💎 Exclusive job opportunities for Premium members",1
"💎 Opportunités d'emploi exclusives membres Premium",1
"🎯 Target your next role with advanced search",1
"🎯 Ciblez votre prochain poste avec la recherche avancée",1
"🌟 Stand out with Premium badge on your profile",1
"🌟 Démarquez-vous avec le badge Premium sur votre profil",1
"📈 Analytics: Track your profile performance",1
"📈 Analyses : Suivez les performances de votre profil",1
"🔍 Advanced search filters for better networking",1
"🔍 Filtres de recherche avancés pour un meilleur réseautage",1
"💬 Unlimited InMails to reach anyone",1
"💬 InMails illimités pour contacter qui vous voulez",1
"Assignment due tomorrow for Data Science course",0
"Devoir à rendre demain pour le cours Data Science",0
"Quiz available: Machine Learning Week 3",0
"Quiz disponible : Machine Learning Semaine 3",0
"Certificate earned: Google IT Support",0
"Certificat obtenu : Support IT Google",0
"Course materials updated for Neural Networks",0
"Supports de cours mis à jour pour Réseaux de Neurones",0
"Peer review required for your project submission",0
"Évaluation par les pairs requise pour votre projet",0
"Lecture recording available for yesterday's session",0
"Enregistrement de cours disponible pour la session d'hier",0
"Final exam scheduled for next Friday at 2 PM",0
"Examen final programmé vendredi prochain à 14h",0
"New discussion thread started in Advanced Python",0
"Nouveau fil de discussion créé dans Python Avancé",0
"Your assignment received grade: A- with feedback",0
"Votre devoir a reçu la note : A- avec commentaires",0
"Group project teams have been assigned",0
"Les équipes de projet de groupe ont été attribuées",0
"📚 Explore new courses in your field",1
"📚 Explorez de nouveaux cours dans votre domaine",1
"🎓 Limited time: 7-day free trial",1
"🎓 Offre limitée : 7 jours d'essai gratuit",1
"⭐ Plus courses unlock with subscription",1
"⭐ Plus de cours débloqués avec l'abonnement",1
"🏆 Level up your skills with certificates",1
"🏆 Développez vos compétences avec des certificats",1
"📈 Career advancement courses starting at $49",1
"📈 Cours d'évolution de carrière dès 49€",1
"🚀 Master new technologies before everyone else",1
"🚀 Maîtrisez les nouvelles technologies avant tout le monde",1
"🎯 Personalized learning path for your goals",1
"🎯 Parcours d'apprentissage personnalisé pour vos objectifs",1
"💼 Corporate training solutions available",1
"💼 Solutions de formation entreprise disponibles",1
"🏅 Earn verified certificates from top universities",1
"🏅 Obtenez des certificats vérifiés d'universités prestigieuses",1
"Account balance: €1,247.83 as of today",0
"Solde du compte : 1 247,83€ à ce jour",0
"Direct debit processed: Netflix €12.99",0
"Prélèvement traité : Netflix 12,99€",0
"Standing order cancelled successfully",0
"Virement permanent annulé avec succès",0
"Card payment declined: insufficient funds",0
"Paiement carte refusé : fonds insuffisants",0
"International transfer completed to UK",0
"Virement international vers le Royaume-Uni effectué",0
"Monthly statement now available for download",0
"Relevé mensuel maintenant disponible en téléchargement",0
"ATM withdrawal: €80 from Main Street location",0
"Retrait DAB : 80€ depuis l'agence Main Street",0
"Interest payment credited: €45.67",0
"Paiement d'intérêts crédité : 45,67€",0
"Fraud alert: Suspicious transaction blocked",0
"Alerte fraude : Transaction suspecte bloquée",0
"Credit limit increase approved: €500",0
"Augmentation limite de crédit approuvée : 500€",0
"💳 Get our premium card with exclusive benefits",1
"💳 Obtenez notre carte premium avec avantages exclusifs",1
"🏦 Personal loan approved in 24 hours",1
"🏦 Prêt personnel approuvé en 24h",1
"📈 Invest smart: Portfolio management from €100",1
"📈 Investissez malin : Gestion de portefeuille dès 100€",1
"💰 High-yield savings: 3.5% annual rate",1
"💰 Épargne haut rendement : 3,5% annuel",1
"🎯 Mortgage rates starting at 2.8%",1
"🎯 Taux hypothécaires dès 2,8%",1
"🌟 VIP banking: Dedicated personal advisor",1
"🌟 Banque VIP : Conseiller personnel dédié",1
"💎 Wealth management for high net worth clients",1
"💎 Gestion de patrimoine pour clients fortunés",1
"🔒 Advanced security features with premium account",1
"🔒 Fonctionnalités de sécurité avancées avec compte premium",1
"📊 Free financial planning consultation",1
"📊 Consultation gratuite en planification financière",1
"Game saved successfully to cloud",0
"Partie sauvegardée avec succès sur le cloud",0
"Friend request from [PLAYER] accepted",0
"Demande d'ami de [JOUEUR] acceptée",0
"Achievement unlocked: First Victory",0
"Succès débloqué : Première Victoire",0
"Server maintenance scheduled for 2 hours",0
"Maintenance serveur programmée 2 heures",0
"Match found: Joining lobby in 10 seconds",0
"Match trouvé : Rejoindre le lobby dans 10s",0
"Daily login bonus: 500 gold coins",0
"Bonus de connexion quotidienne : 500 pièces d'or",0
"Tournament brackets updated for Round 2",0
"Tableaux de tournoi mis à jour pour le Tour 2",0
"Guild invitation received from [GUILD_NAME]",0
"Invitation de guilde reçue de [NOM_GUILDE]",0
"New update available: Version 2.4.1",0
"Nouvelle mise à jour disponible : Version 2.4.1",0
"Leaderboard position: Rank 247 globally",0
"Position classement : Rang 247 mondial",0
"🎮 New battle pass available now",1
"🎮 Nouveau passe de combat disponible",1
"🔥 Legendary skin: Limited time only",1
"🔥 Skin légendaire : Temps limité uniquement",1
"⚡ XP boost weekend: Double rewards",1
"⚡ Weekend boost XP : Récompenses doublées",1
"💎 Premium currency: 50% bonus this week",1
"💎 Monnaie premium : Bonus 50% cette semaine",1
"🏆 Tournament entry: Win exclusive prizes",1
"🏆 Inscription tournoi : Gagnez des prix exclusifs",1
"🎯 Pro gamer package: Advanced stats & replays",1
"🎯 Pack joueur pro : Stats avancées et replays",1
"🌟 VIP membership: Skip queues and get priority",1
"🌟 Adhésion VIP : Évitez les files et obtenez la priorité",1
"💰 Earn real money in tournaments",1
"💰 Gagnez de l'argent réel dans les tournois",1
"🎪 Special event: Halloween themed rewards",1
"🎪 Événement spécial : Récompenses sur le thème Halloween",1
"Order #78456 shipped via DHL Express",0
"Commande #78456 expédiée via DHL Express",0
"Return approved: Refund within 5-7 days",0
"Retour approuvé : Remboursement sous 5-7 jours",0
"Delivery attempt failed: Reschedule online",0
"Tentative de livraison échouée : Reprogrammez en ligne",0
"Product review request for recent purchase",0
"Demande d'avis produit pour achat récent",0
"Warranty registration completed successfully",0
"Enregistrement garantie effectué avec succès",0
"Package delivered and left at front door",0
"Colis livré et laissé devant la porte d'entrée",0
"Tracking updated: Package in transit",0
"Suivi mis à jour : Colis en transit",0
"Exchange request processed for order #12345",0
"Demande d'échange traitée pour commande #12345",0
"Customer service: Your ticket #789 is resolved",0
"Service client : Votre ticket #789 est résolu",0
"Stock replenishment: Item back in inventory",0
"Réapprovisionnement : Article de nouveau en stock",0
"🛍️ Items in your cart are selling fast",1
"🛍️ Articles dans votre panier partent vite",1
"⏰ Only 2 left in stock: Complete your order",1
"⏰ Plus que 2 en stock : Finalisez votre commande",1
"💝 Personalized recommendations just for you",1
"💝 Recommandations personnalisées juste pour vous",1
"🚨 Price drop alert: Your wishlist item is 30% off",1
"🚨 Alerte baisse prix : Article wishlist -30%",1
"📦 Free shipping on orders over €50",1
"📦 Livraison gratuite dès 50€ d'achat",1
"🎁 Black Friday mega sale: Up to 70% off",1
"🎁 Méga soldes Black Friday : Jusqu'à -70%",1
"⭐ Customer favorites: Most popular items",1
"⭐ Favoris clients : Articles les plus populaires",1
"🚀 New arrivals: Fresh styles just in",1
"🚀 Nouveautés : Styles frais qui viennent d'arriver",1
"💰 Cashback offer: 5% on all purchases",1
"💰 Offre cashback : 5% sur tous les achats",1
"Download completed: Episode 5 of [SERIES]",0
"Téléchargement terminé : Épisode 5 de [SÉRIE]",0
"Playback resumed where you left off",0
"Lecture reprise là où vous vous êtes arrêté",0
"Parental controls updated successfully",0
"Contrôle parental mis à jour avec succès",0
"Account shared with [EMAIL] successfully",0
"Compte partagé avec [EMAIL] avec succès",0
"Subtitle language changed to French",0
"Langue sous-titres changée en français",0
"Watch party started with [FRIEND_NAME]",0
"Soirée visionnage commencée avec [NOM_AMI]",0
"Download for offline viewing completed",0
"Téléchargement pour visionnage hors ligne terminé",0
"Viewing history cleared successfully",0
